Player Code	Team Code	Last Name	First Name	Uniform Number	Class	Height	Weight	Home Town	Home State	Home Country	Last School
1035204	5	Allen	Jeff	46.0	JR	74.0	262.0	Morgantown	WV	US	Coastal Carolina/Morgantown HS
1030820	5	Bailey	Austin	40.0	SR	71.0	262.0	West Friendship	MD	US	DeMatha Catholic HS
1031581	5	Capi	Nordly	11.0	SR	75.0	249.0	Ocoee	FL	US	Colorado State/Ocoee HS
1030827	5	Caponi	Nico	58.0	SR	75.0	278.0	Sandusky	OH	US	Sandusky Perkins HS
1054142	5	Copeland	Darius	95.0	FR	73.0	257.0	Ft. Myers	FL	US	Ft. Myers HS
1038394	5	Davis	Mike	79.0	SO	72.0	282.0	Powell	OH	US	Olentangy Liberty HS
1038373	5	Grice	Cody	36.0	SO	71.0	283.0	Akron	OH	US	Firestone HS
1054139	5	Hollis	Keontae	8.0	JR	73.0	295.0	Pontiac	MI	US	Iowa Central Community College/Pontiac HS
1046147	5	Horner	Alfonso	96.0	SO	75.0	217.0	Miami	FL	US	Belen Jesuit Prep
1023647	5	James	C.J.	9.0	SR	75.0	250.0	Orlando	FL	US	Colorado State/Colonial HS
1046146	5	Martin	Daryan	92.0	FR	72.0	229.0	Cincinnati	OH	US	Princeton HS
1016277	5	McCray	Moses	90.0	SR	74.0	318.0	Tampa	FL	US	Florida State/Hillsborough HS
1054144	5	Okafor	Nmesoma	99.0	JR	78.0	230.0	Queens	NY	US	Nassau (N.Y.) Community College/Campus Magnet HS
1048732	5	Pittman	Se'Von	2.0	FR	75.0	269.0	Canton	OH	US	Ohio State/Canton McKinley HS
1046145	5	Presley	Albert	91.0	SR	74.0	223.0	Marietta	GA	US	Dean (Mass.) College/Wheeler HS
1038398	5	Seeman	Connor	93.0	SR	75.0	235.0	Copley	OH	US	Copley HS
1046186	8	Ball	Dakota	94.0	FR	74.0	270.0	Lindale	GA	US	Pepperell
1038416	8	Fanning	LaMichael	44.0	SO	79.0	270.0	Hamilton	GA	US	Harris County
1030873	8	Ivory	Brandon	99.0	JR	76.0	310.0	Memphis	TN	US	East
1046182	8	Kirven	Korren	85.0	FR	77.0	281.0	Lynchburg	VA	US	Brookville
1046187	8	Lake	Darren	95.0	SO	75.0	324.0	York	AL	US	Sumter County
1054166	8	Liner	Dee	52.0	FR	75.0	281.0	Muscle Shoals	AL	US	Muscle Shoals
1038422	8	Love	Wilson	51.0	SO	75.0	286.0	Mountain Brook	AL	US	Mountain Brook
1046175	8	Newsome	Michael	64.0	JR	74.0	250.0	Cockeysville	MD	US	Boys' Latin
1030870	8	Orr	Anthony	53.0	JR	76.0	282.0	Madison	AL	US	Sparkman
1038431	8	Pagan	Jeoffrey	8.0	JR	76.0	290.0	Asheville	NC	US	Asheville
1054177	8	Robinson	A'Shawn	86.0	FR	76.0	320.0	Fort Worth	TX	US	Arlington Heights
1022899	8	Stinson	Ed	49.0	SR	76.0	292.0	Homestead	FL	US	South Dade
1046172	8	Tomlinson	Dalvin	54.0	FR	74.0	287.0	McDonaugh	GA	US	Henry County
1038478	9	Christian	Jewel	96.0	SR	74.0	295.0	Osyka	MS	US	SW Miss CC
1054182	9	Ejike	Kingsley	15.0	FR	75.0	230.0	Covington	GA	US	Newton HS
1046208	9	Morris	Jontavious	55.0	SO	74.0	295.0	Albany	GA	US	Albany HS
1030906	9	Scott	Deric	95.0	SR	75.0	285.0	Atlanta	GA	US	Carver HS
1054212	9	Smith	Andra	99.0	FR	76.0	305.0	Memphis	TN	US	Whitehaven HS
1054242	28	Cherry	Demetrius	94.0	JR	78.0	275.0	Frostproof	FL	US	Frostproof Middle
1054214	28	Hardison	Marcus	12.0	JR	77.0	290.0	Punta Gorda	FL	US	Charlotte
1046251	28	Hood	Jaxon	92.0	SO	72.0	301.0	Chandler	AZ	US	Hamilton
1054243	28	Jagne	Kisima	96.0	FR	76.0	254.0	Chandler	AZ	US	Chandler
1038508	28	Latu	Mo	76.0	SO	75.0	380.0	Gilbert	AZ	US	Perry
1038514	28	O'Grady	Sean	93.0	SO	75.0	246.0	Las Flores	CA	US	Tesoro
1046250	28	Sheffield	Jake	91.0	SR	75.0	270.0	Denver	CO	US	
1054217	28	Smith	Corey	15.0	FR	79.0	260.0	New Orleans	LA	US	Perry Walker
1022985	28	Sutton	Will	90.0	SR	73.0	305.0	Corona	CA	US	Centennial
1054290	29	Allen	Calvin	94.0	FR	78.0	259.0	Albuquerque	NM	US	La Cueva HS
1054288	29	Banda	Jack	92.0	FR	75.0	217.0	Grayson	GA	US	Grayson HS
1054275	29	Bruno	Luca	60.0	FR	76.0	259.0	Oak Park	CA	US	Oak Park HS
1038527	29	Gilbert	Reggie	84.0	JR	76.0	261.0	Laveen	AZ	US	Fairfax HS
1031689	29	Hood	Tevin	98.0	SR	72.0	302.0	Chandler	AZ	US	Hamilton HS/Duke/USD
1046294	29	Kelley	Kyle	99.0	FR	75.0	252.0	Irvine	CA	US	Woodbridge HS
1046293	29	Melvin	Dwight	97.0	FR	73.0	272.0	Laveen	AZ	US	Fairfax HS
1030979	29	Pettinato	Dan	90.0	JR	76.0	271.0	Grass Valley	CA	US	Nevada Union HS
1030977	29	Taula	Kirifi	75.0	JR	76.0	265.0	Garden Grove	CA	US	Servite HS
1023023	29	Tuihalamaka	Sione	91.0	SR	74.0	269.0	Hawthorne	CA	US	Serra HS
1023007	29	Washington	Justin	43.0	SR	74.0	246.0	Cypress	TX	US	Cypress Woods HS
1054289	29	Zellers	Parker	93.0	FR	73.0	248.0	Scottsdale	AZ	US	Notre Dame Prep
1046319	30	Blackmon	Dexter	77.0	SR	76.0	268.0	Selma	AL	US	Coffeyville (Kan.) CC
1023042	30	Carrethers	Ryan	98.0	SR	74.0	330.0	Nashville	TN	US	Brentwood Academy
1046314	30	Cole	Lamarcus	95.0	FR	74.0	230.0	Little Rock	AR	US	Hall
1030719	30	Draper	Amos	97.0	SR	75.0	266.0	Tanner	AL	US	Tanner
1023043	30	Dunaway	Darius	93.0	SR	77.0	259.0	Monroe	LA	US	Carroll
1046328	30	Gandy	John	96.0	SR	72.0	260.0	Houston	TX	US	Blinn (TX) College
1046318	30	Moreton	Austin	76.0	FR	73.0	318.0	Fort Smith	AR	US	Southside
1031010	30	Owens	Markel	94.0	JR	74.0	303.0	Jackson	TN	US	Liberty Tech
1046326	30	Rosser	Darrius	92.0	FR	75.0	284.0	Marion	AR	US	Marion
1046327	30	Shantz	Hunter	91.0	FR	75.0	219.0	Cape Giradeau	MO	US	Cape Central
1054311	30	Smith	Edwin	62.0	FR	71.0	261.0	North Little Rock	AR	US	Sylvan Hills
1054324	30	Watson	C.J.		FR	71.0	235.0	Monticello	AR	US	Warren
1038629	31	Hodge	DeMarcus	93.0	SO	73.0	335.0	Monroe	LA	US	Neville HS
1031044	31	Jones	Byran	54.0	SR	74.0	315.0	Junction City	AR	US	Junction City HS
1054362	31	Marks	Ke'Tyrus	90.0	FR	74.0	297.0	West Palm Beach	FL	US	Suncoast HS
1046363	31	Philon	Darius	91.0	FR	75.0	290.0	Mobile	AL	US	Vigor HS
1054364	31	Roesler	Karl	96.0	FR	75.0	235.0	Louisville	KY	US	Saint Xavier HS
1038632	31	Thomas	Robert	98.0	SR	75.0	325.0	Muskogee	OK	US	Coffeyville CC/Muskogee HS
1054365	37	Adams	Montravius	1.0	FR	76.0	305.0	Vienna	GA	US	Dooly County
1038673	37	Blackson	Angelo	98.0	JR	76.0	310.0	Bear	DE	US	Red Lion Christian
1054384	37	Bradley	Ben	50.0	JR	73.0	295.0	Norcross	GA	US	Hutchinson CC
1046403	37	Nero	Tyler	91.0	FR	74.0	271.0	Atmore	AL	US	Escambia County
1038671	37	Niles	JaBrian	93.0	SO	74.0	293.0	Mobile	AL	US	Davidson
1054390	37	Thomas	Jackson	60.0	FR	73.0	246.0	Birmingham	AL	US	Briarwood Christian
1038674	37	Walsh	Brian	99.0	SO	75.0	311.0	Winter Springs	FL	US	Winter Springs
1031086	37	Whitaker	Jeffrey	54.0	SR	76.0	310.0	Warner Robins	GA	US	Warner Robins
1038670	37	Wright	Gabe	90.0	JR	75.0	296.0	Columbus	GA	US	Carver
1038707	47	Anderson	Ian	69.0	SO	75.0	282.0	Pfafftown	NC	US	Reagan
1031131	47	Cox	Joel	93.0	SR	73.0	288.0	Greenwood	IN	US	Center Grove
1054430	47	Dueitt	Blake	97.0	FR	73.0	251.0	Cornelius	NC	US	W.A. Hough
1054428	47	Garces	Daniel	90.0	FR	73.0	223.0	Matthews	NC	US	Providence
1046424	47	Godfrey	John	55.0	FR	72.0	243.0	South Bend	IN	US	St. Joseph's
1054429	47	Key	Tracy	91.0	JR	74.0	232.0	Harvey	IL	US	Thornton Township
1031132	47	Ollie	Nathan	92.0	SR	73.0	295.0	Chicago	IL	US	Mount Carmel
1046426	47	Parks	Pete	58.0	FR	73.0	286.0	Crown Point	IN	US	Crown Point
1054432	47	Petty	Damerrian	99.0	FR	73.0	288.0	Shelby	NC	US	Burns
1046438	47	Smith	Darnell	95.0	SO	71.0	275.0	Indianapolis	IN	US	Warren Central
1054431	47	Winbush	Anthony	98.0	FR	73.0	207.0	Indianapolis	IN	US	Warren Central
1046432	47	Zaramo	Carlutorbantu	96.0	FR	75.0	301.0	Richmond Heights	OH	US	Brush
1054460	51	Billings	Andrew	75.0	FR	72.0	310.0	Waco	TX	US	Waco HS
1038744	51	Blackshear	Beau	95.0	SO	76.0	300.0	Waco	TX	US	Midway HS
1054463	51	Bonds	Byron	96.0	FR	72.0	275.0	Allen	TX	US	Allen HS
1054461	51	Brooks	Terrell	88.0	JR	76.0	305.0	Duncanville	TX	US	Duncanville HS/Navarro College
1038745	51	Clemons-Valdez	Trevor	98.0	SO	75.0	290.0	Copperas Cove	TX	US	Copperas Cove HS
1046468	51	Ezell	Zorrell	99.0	FR	74.0	290.0	Humble	TX	US	Humble HS
1038742	51	Masumbuko	Suleiman	93.0	SO	74.0	290.0	Euless	TX	US	Trinity HS
1054454	51	Thrift	Tanner	57.0	FR	76.0	255.0	Hutto	TX	US	Hutto HS
1038763	66	Ash	Robert	58.0	SO	75.0	291.0	Elk Grove	CA	US	Cosumnes Oaks HS
1031182	66	Horn	Tyler	69.0	JR	77.0	265.0	Meridian	ID	US	Mountain View HS
1046503	66	Hoyte	Elliot	96.0	FR	76.0	275.0	Tavistock		GB	Ivybridge CC
1038762	66	Martin	Beau	53.0	JR	74.0	271.0	Denver 	CO	US	CSU-Pueblo
1046484	66	Nance	Armand	40.0	SO	72.0	288.0	Houston 	TX	US	DeKaney HS
1054492	66	Taimatuia	Justin	90.0	JR	72.0	281.0				Fort Scott CC
1054480	66	Terry	Nick	50.0	FR	75.0	271.0	Elk Grove	CA	US	Pleasant Grove HS
1023235	66	Tjong-A-Tjoe	Ricky	43.0	SR	75.0	300.0	Amsterdam		NL	Boise HS
1038782	67	Abdesmad	Mehdi	45.0	JR	79.0	278.0	Montreal	QC	CA	Cegep du Vieux-Montreal
1031227	67	Appiah	Dominic	95.0	JR	77.0	291.0	Somerset	NJ	US	Cheshire Academy (CT)
1038786	67	Borcich	Kieran	55.0	SO	75.0	276.0	Bronxville	NY	US	Bronxville
1054512	67	Gutapfel	Truman	97.0	FR	75.0	261.0	Harrison	OH	US	Harrison HS
1038784	67	Lifka	Nick	48.0	SO	74.0	274.0	Naperville	IL	US	Naperville North
1038799	67	Mihalik	Brian	99.0	JR	81.0	283.0	Avon Lake	OH	US	Avon Lake
1054510	67	Montgomery	Tevin	78.0	FR	75.0	312.0	Van Alstyne	TX	US	Tabor Academy
1015629	67	Ramsey	Kaleb	96.0	SR	75.0	285.0	Uniontown	PA	US	Laurel Highlands
1031216	67	Rudolph	Jaryd	65.0	SR	75.0	275.0	Plympton	MA	US	Silver Lake Regional
1038797	67	Wujciak	Connor	90.0	SO	75.0	300.0	West Caldwell	NJ	US	Seton Hall Prep
1046551	71	Bush	Terrance	61.0	FR	74.0	229.0	South Bend	IN	US	Washington
1023303	71	Campbell	Jairus	90.0	SR	77.0	296.0	Pickerington	OH	US	Pickerington North
1054535	71	Carnes	Solomon	73.0	FR	74.0	238.0	Piqua	OH	US	Piqua
1046544	71	Croley	Jhalil-Nashid	45.0	FR	74.0	253.0	Cincinnati	OH	US	Princeton
1031252	71	Fry	Johnathan	64.0	JR	75.0	266.0	Huntington	WV	US	Spring Valley
1054530	71	Holiday	Darius	60.0	FR	75.0	252.0	Miramar	FL	US	American Heritage
1048953	71	Jackson	Terrell	56.0	FR	75.0	275.0	Columbus	OH	US	Marion-Franklin
1046546	71	Lunsford	Izaah	50.0	FR	75.0	268.0	Cincinnati	OH	US	Shroder Paideia
1046549	71	Minns	Mike	54.0	SO	70.0	293.0	West Palm Beach	FL	US	Dwyer
1031263	71	Montgomery	Kendall	88.0	JR	77.0	262.0	Miami	FL	US	Monsignor Pace
1054543	71	Nachtrab	Jake	95.0	FR	74.0	223.0	Sylvania	OH	US	St. Johnâ??s Jesuit
1023322	71	Ouellet	Ted	93.0	SR	75.0	284.0	Sherborn	MA	US	Dover-Sherborn
1046547	71	Royster	Taylor	51.0	SO	69.0	257.0	Lima	OH	US	Lima Central Catholic
1054531	71	Schwieterman	Gus	63.0	FR	73.0	245.0	Tipp City	OH	US	Bethel
1054542	71	Shepherd	Jason	94.0	FR	69.0	245.0	Loxahatchee	FL	US	Seminole Ridge
1031245	71	Walker	Charlie	46.0	JR	74.0	245.0	Sterling Heights	MI	US	Stevenson
1046590	77	Doman	Michael	93.0	SO	76.0	240.0	Portland	OR	US	Canby High School
1031306	77	Holt	Austin	88.0	JR	77.0	262.0	South Jordan	UT	US	Bingham High School
1046589	77	Johnson	Marques	99.0	JR	74.0	308.0	Los Angeles	CA	US	El Camino Community College
