Player Code	Team Code	Last Name	First Name	Uniform Number	Class	Height	Weight	Home Town	Home State	Home Country	Last School
1022862	5	Alexander	Broderick	2	SR	72.0	225.0	Covington	GA	US	Eastside HS
1046129	5	Allen	Christian	49	FR	72.0	249.0	Morgantown	WV	US	Morgantown HS
1038452	9	Jones	Santonio	38	SR	71.0	220.0	Heidelberg	MS	US	Jones County JC
1054194	9	Lestrange	Kyle	36	FR	73.0	235.0	Alpharetta	GA	US	Milton HS
1054337	31	Arinze	Patrick	33	JR	70.0	238.0	La Mesa	CA	US	Grossmont CC/Helix HS
1054342	31	Jones	Chris	41	FR	71.0	240.0	DeQueen	AR	US	DeQueen HS
1031033	31	Linton	Morgan	35	JR	71.0	252.0	Lonoke	AR	US	Lonoke HS
1054343	31	Ryan	Devin	42	FR	70.0	217.0	Flower Mound	TX	US	Marcus HS
1038603	31	Small	Kiero	36	SR	70.0	242.0	Baltimore	MD	US	Hartnell CC/Cardinal Gibbons HS
1046389	37	Batten	Gage	40	FR	72.0	235.0	Palm Beach Gardens	FL	US	Dwyer
1032116	37	Prosch	Jay	35	SR	72.0	258.0	Mobile	AL	US	UMS-Wright
1038655	37	Young	Patrick	49	JR	74.0	228.0	Trussville	AL	US	Hewitt-Trussville
1038878	86	Brock	Boomer	41	SR	70.0	260.0	Elma	NY	US	Iroquois
1038882	86	Patterson	Kendall	33	SO	72.0	260.0	Abingdon	MD	US	DeMatha Catholic
1054618	96	Brown	Jordan	40	SO	72.0	227.0	Fresno	CA	US	Clovis West
1038979	110	Gane	Luke	49	JR	74.0	228.0	Huntington Beach	CA	US	Edison
1031455	110	Hale	Tre'	48	JR	74.0	242.0	Rancho Cucamonga	CA	US	Damien
1031437	110	Ruhl	Phillip	44	JR	72.0	230.0	Stockton	CA	US	Lincoln
1054727	128	Mathis	Mario	32	FR	73.0	234.0	Thomasville	GA	US	Thomasville
1039042	129	Conley	Christian	37	SO	74.0	249.0	Troy	MI	US	Athens HS
1023561	129	Fenton	Adam	49	SR	74.0	246.0	Birmingham	MI	US	Seaholm HS
1031494	129	Lombardo	Tyler	42	SR	73.0	248.0	Harrison Township	MI	US	L'Anse Creuse HS
1023553	129	Masztak	Ben	30	SR	73.0	224.0	Paw Paw	MI	US	Paw Paw HS
1039092	140	Coyne	Patrick	9	SO	73.0	240.0	Cincinnati	OH	US	Badin
1046815	140	Golden	Jared	42	SO	73.0	240.0	Gallipolis	OH	US	Gallia Academy
1054788	140	Junior	EJ	38	FR	72.0	222.0	Middletown	OH	US	Middletown
1023990	140	Luallen	Jordan	10	SR	75.0	240.0	Greenwood	IN	US	Center Grove/Georgia Tech
1054789	140	Nutter	Kyle	39	FR	71.0	230.0	Genoa	OH	US	Genoa
1023613	147	Smith	Darrell	40	SR	73.0	240.0	Gadsden	AL	US	Gadsden City HS
1054884	157	Frazier	George	28	FR	74.0	260.0	Monrovia	CA	US	Monrovia
1046900	157	Hiss	Jesse	40	FR	73.0	235.0	Bonner Springs	KS	US	Basehor-Linwood
1046902	157	Jones	Clay	48	SO	72.0	220.0	Palo Alto	CA	US	St. Francis
1039154	157	Murphy	Jordan	33	SO	72.0	230.0	Castle Rock	CO	US	Lutheran/Colorado State
1046924	164	Clax	Jazzmar	34	FR	71.0	239.0	Freehold	NJ	US	Neptune
1054928	164	Walsh	Matthew	36	FR	72.0	227.0	Madison	CT	US	Daniel Hand
1046968	193	Conway	Jackson	49	SO	70.0	215.0	Bronxville	NY	US	Bronxville
1023778	196	Booth	Jimmy	46	SR	74.0	308.0	Greenville 	NC	US	J.H. Rose
1054988	196	Eason	Trey	30	FR	67.0	218.0	Jacksonville 	NC	US	Northside
1023792	204	Fleming	Joe	23	SR	72.0	230.0	Southfield	MI	US	Lathrup
1055098	231	Gibbs	Jordan	40	FR	73.0	235.0	Miami	FL	US	Miami Killian
1055096	231	Lorenzo	Jorge	37	FR	69.0	235.0	Miami	FL	US	Miami Christopher Columbus
1031869	234	Abram	Chad	41	SR	72.0	229.0	Lakeland	FL	US	Kathleen
1055134	234	Ponder	Cameron	44	JR	73.0	240.0	Yulee	FL	US	Yulee
1055138	234	Romano	Jake	49	FR	71.0	236.0	Wellington	FL	US	Wellington
1039452	235	Joyer	Hunter	41	JR	71.0	240.0	Wesley Chapel	FL	US	Tampa Catholic
1055214	254	Aquil	Jamal	48	JR	73.0	220.0	Jackson	GA	US	Jackson/Shorter
1052288	254	Jeppesen	Sean	47	JR	72.0	225.0	Fortson	GA	US	Harris County/West Georgia
1038348	254	Stetzer	Marcus	41	JR	72.0	235.0	Columbus	GA	US	Shaw
1039518	257	Campbell	Corey	46	SR	70.0	217.0	Hephzibah	GA	US	Hephzibah
1039519	257	Hall	Merritt	43	SO	71.0	226.0	Alpharetta	GA	US	Wesleyan School
1047259	257	Hicks	Quayvon	48	SO	74.0	257.0	Blackshear	GA	US	Pierce County HS
1039528	257	Maxey	Taylor	47	JR	70.0	220.0	Statham	GA	US	North Oconee
1031974	257	Young	Chris	35	SR	73.0	235.0	Hinesville	GA	US	Bradwell Institute
1032020	277	Elisara	Dustin	43	JR	72.0	270.0	Kapolei	HI	US	Kapolei HS
1055306	277	Faalologo	Penitito	26	FR	71.0	250.0	Pago Pago		AS	Fagaitua HS
1039564	277	Vele	Justin	48	SO	72.0	245.0	Honolulu	HI	US	Farrington HS
1032043	288	Brown	Xavier	23	JR	71.0	215.0	Pearland	TX	US	Dawson HS
1055354	288	McCloskey	Tyler	45	FR	74.0	212.0	Houston	TX	US	Memorial HS
1047322	288	Stice	Luke	37	SO	72.0	218.0	Midland	TX	US	Lee
1039635	295	Manley	Jake	45	SO	72.0	237.0	Riggins	ID	US	Salmon River High School
1055400	295	Shelton	Kevin	43	FR	75.0	247.0	Auburn	WA	US	Auburn High School
1055399	295	Strodtbeck	Brady	42	FR	72.0	225.0	Boise	ID	US	Timberline High School
1032155	306	Zakrzewski	Matt	40	JR	74.0	251.0	Traverse City	MI	US	St. Francis
1047514	312	Cox	Adam	38	SO	71.0	215.0	Chana	IL	US	Stillman Valley
1045487	312	Grimm	Berkley	40	SO	72.0	230.0	Iowa City	IA	US	Regina
1039797	312	Plewa	Macon	42	SO	74.0	234.0	Franklin	WI	US	Franklin
1047558	327	Gronkowski	Glenn	48	FR	75.0	234.0	Amherst	NY	US	Williamsville North
1047550	327	Katsorelos	Austin	39	FR	73.0	229.0	Leawood	KS	US	Blue Valley
1032263	327	Nemechek	Zach	89	JR	75.0	243.0	Quinter	KS	US	Quinter
1055590	327	Weber	Adam	34	JR	65.0	207.0	Colby	KS	US	Garden City CC
1055705	334	Colton	Mason	37	SO	70.0	250.0	Atlanta	GA	US	Westlake/Lincoln
1039940	334	Jones	Cody	43	SR	71.0	215.0	Williamsburg	KY	US	Whitley County/Morehead State
1039941	334	Warren	D.J.	39	JR	72.0	226.0	Alcoa	TN	US	Alcoa
1047651	334	Witthuhn	Jeff	10	FR	75.0	238.0	Bowling Green	KY	US	Greenwood
1032406	365	Copeland	J.C.	44	SR	73.0	270.0	LaGrange	GA	US	Troup County HS
1055743	365	Cormier	Jason	36	JR	72.0	198.0	Austin	TX	US	Lago Vista HS/Austin CC
1047711	365	Meullion	Devante	35	SO	70.0	240.0	Seattle	WA	US	Chief Sealth International HS
1032405	365	Neighbors	Connor	43	SR	71.0	239.0	Huntsville	AL	US	Huntsville HS
1055742	365	Schiro	Bennett	31	FR	71.0	214.0	New Orleans	LA	US	Jesuit HS
1040033	367	Brohm	Luke	36	SO	73.0	200.0	Louisville	KY	US	St. Xavier
1032488	367	Butler	B.J.	44	SR	74.0	274.0	Kissimmee	FL	US	Osceola
